City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Gat,IL,79.48,broken clouds,31.61,34.7642,OlusHome
420,Umarizal,BR,79.11,overcast clouds,-5.9906,-37.8144,Pousada Sossego
423,Kibala,TD,71.96,light rain,9.1104,18.3463,Prasant Hotels
425,Saint-Joseph,RE,70.11,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
430,Wawa,NG,74.5,light rain,9.9022,4.4192,
431,Grand-Lahou,CI,74.97,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
435,Pombas,CV,74.57,overcast clouds,17.1503,-25.0201,Paul Paradis
438,Ipojuca,BR,75.11,overcast clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
442,Killin,US,75.29,thunderstorm with light rain,33.6123,-91.7412,US Forestry Department
445,Mitsamiouli,KM,75.42,clear sky,-11.3847,43.2844,Foyer ADM
447,Businga,CD,71.69,overcast clouds,3.3333,20.8833,
451,Abrau-Dyurso,RU,71.06,clear sky,44.69,37.59,Avgustin Inn
452,Acarau,BR,78.93,overcast clouds,-2.8856,-40.12,castelo pizzaria
453,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
454,Odweyne,SO,73.89,broken clouds,9.4092,45.064,Eng Hiirey House
455,Manali,IN,84.07,broken clouds,13.1667,80.2667,Sarathy Lodge
457,Bara,NG,70.93,overcast clouds,10.3744,10.7288,
458,Divnomorskoye,RU,75.83,clear sky,44.5011,38.1353,Primorskiy
459,Moura,PT,78.91,clear sky,38.1401,-7.4486,Hotel de Moura
462,Masyaf,SY,72.7,clear sky,35.0653,36.3406,شاطئ مايو
468,Villa Bruzual,VE,81.97,scattered clouds,9.3328,-69.1208,hotel italia
469,Vazante,BR,74.28,scattered clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
471,Tabuk,PH,74.28,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
476,Oranjestad,AW,80.49,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
478,Albany,US,80.58,few clouds,42.6001,-73.9662,
480,Mattru,SL,72.46,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
481,Aden,YE,84.13,clear sky,12.7794,45.0367,Sama Emirate Hotel
482,Cairo,EG,83.16,clear sky,30.0626,31.2497,Grand Hotel
483,Lamu,KE,73.62,few clouds,-2.2717,40.902,Lamu House
484,Manono,CD,76.57,clear sky,-7.3,27.4167,Hotel hewa bora
485,Alexandria,EG,79.07,clear sky,31.2156,29.9553,Royal Crown Hotel
487,Beterou,BJ,71.44,moderate rain,9.1992,2.2586,Monastère de Kokoubou
488,Hamilton,US,84.07,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
490,Madimba,TZ,70.77,few clouds,-10.4,40.3333,
495,Moju,BR,74.17,moderate rain,-1.8839,-48.7689,HOTEL MARTINS
496,Matviyivka,UA,70.63,clear sky,47.0747,35.1444,
497,Tambacounda,SN,75.7,moderate rain,13.7539,-13.7586,
500,Joue-Les-Tours,FR,75.65,clear sky,47.3522,0.6691,Brit Hotel Tours Sud – Le Cheops
506,Quatre Cocos,MU,70.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
508,Portmore,JM,89.06,scattered clouds,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
510,Jutai,BR,81.48,overcast clouds,-5.1833,-68.9,
